,interval_from,interval_to,indices_NDVI_min,indices_NDVI_max,indices_NDVI_mean,indices_NDVI_stDev,indices_NDVI_sampleCount,indices_NDVI_noDataCount,indices_NDVI_percentiles_5.0,indices_NDVI_percentiles_95.0,indices_NDVI_percentiles_50.0,indices_NDVI_RE1_min,indices_NDVI_RE1_max,indices_NDVI_RE1_mean,indices_NDVI_RE1_stDev,indices_NDVI_RE1_sampleCount,indices_NDVI_RE1_noDataCount,indices_NDVI_RE1_percentiles_5.0,indices_NDVI_RE1_percentiles_95.0,indices_NDVI_RE1_percentiles_50.0,indices_NBSI_min,indices_NBSI_max,indices_NBSI_mean,indices_NBSI_stDev,indices_NBSI_sampleCount,indices_NBSI_noDataCount,indices_NBSI_percentiles_5.0,indices_NBSI_percentiles_95.0,indices_NBSI_percentiles_50.0,indices_CLP_min,indices_CLP_max,indices_CLP_mean,indices_CLP_stDev,indices_CLP_sampleCount,indices_CLP_noDataCount,indices_CLP_percentiles_5.0,indices_CLP_percentiles_95.0,indices_CLP_percentiles_50.0,masks_CLM_min,masks_CLM_max,masks_CLM_mean,masks_CLM_stDev,masks_CLM_sampleCount,masks_CLM_noDataCount,masks_CLM_percentiles_5.0,masks_CLM_percentiles_95.0,masks_CLM_percentiles_50.0,bands_B01_min,bands_B01_max,bands_B01_mean,bands_B01_stDev,bands_B01_sampleCount,bands_B01_noDataCount,bands_B01_percentiles_5.0,bands_B01_percentiles_95.0,bands_B01_percentiles_50.0,bands_B02_min,bands_B02_max,bands_B02_mean,bands_B02_stDev,bands_B02_sampleCount,bands_B02_noDataCount,bands_B02_percentiles_5.0,bands_B02_percentiles_95.0,bands_B02_percentiles_50.0,bands_B03_min,bands_B03_max,bands_B03_mean,bands_B03_stDev,bands_B03_sampleCount,bands_B03_noDataCount,bands_B03_percentiles_5.0,bands_B03_percentiles_95.0,bands_B03_percentiles_50.0,bands_B04_min,bands_B04_max,bands_B04_mean,bands_B04_stDev,bands_B04_sampleCount,bands_B04_noDataCount,bands_B04_percentiles_5.0,bands_B04_percentiles_95.0,bands_B04_percentiles_50.0,bands_B05_min,bands_B05_max,bands_B05_mean,bands_B05_stDev,bands_B05_sampleCount,bands_B05_noDataCount,bands_B05_percentiles_5.0,bands_B05_percentiles_95.0,bands_B05_percentiles_50.0,bands_B06_min,bands_B06_max,bands_B06_mean,bands_B06_stDev,bands_B06_sampleCount,bands_B06_noDataCount,bands_B06_percentiles_5.0,bands_B06_percentiles_95.0,bands_B06_percentiles_50.0,bands_B07_min,bands_B07_max,bands_B07_mean,bands_B07_stDev,bands_B07_sampleCount,bands_B07_noDataCount,bands_B07_percentiles_5.0,bands_B07_percentiles_95.0,bands_B07_percentiles_50.0,bands_B08_min,bands_B08_max,bands_B08_mean,bands_B08_stDev,bands_B08_sampleCount,bands_B08_noDataCount,bands_B08_percentiles_5.0,bands_B08_percentiles_95.0,bands_B08_percentiles_50.0,bands_B8A_min,bands_B8A_max,bands_B8A_mean,bands_B8A_stDev,bands_B8A_sampleCount,bands_B8A_noDataCount,bands_B8A_percentiles_5.0,bands_B8A_percentiles_95.0,bands_B8A_percentiles_50.0,bands_B09_min,bands_B09_max,bands_B09_mean,bands_B09_stDev,bands_B09_sampleCount,bands_B09_noDataCount,bands_B09_percentiles_5.0,bands_B09_percentiles_95.0,bands_B09_percentiles_50.0,bands_B11_min,bands_B11_max,bands_B11_mean,bands_B11_stDev,bands_B11_sampleCount,bands_B11_noDataCount,bands_B11_percentiles_5.0,bands_B11_percentiles_95.0,bands_B11_percentiles_50.0,bands_B12_min,bands_B12_max,bands_B12_mean,bands_B12_stDev,bands_B12_sampleCount,bands_B12_noDataCount,bands_B12_percentiles_5.0,bands_B12_percentiles_95.0,bands_B12_percentiles_50.0
0,2018-01-08,2018-01-09,0.1942,0.1942,0.1942,0.0,1,0,0.1942,0.1942,0.1942,0.1044,0.1044,0.1044,0.0,1,0,0.1044,0.1044,0.1044,0.0694,0.0694,0.0694,0.0,1,0,0.0694,0.0694,0.0694,0.349,0.349,0.349,0.0,1,0,0.349,0.349,0.349,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0569,0.0569,0.0569,0.0,1,0,0.0569,0.0569,0.0569,0.0628,0.0628,0.0628,0.0,1,0,0.0628,0.0628,0.0628,0.0611,0.0611,0.0611,0.0,1,0,0.0611,0.0611,0.0611,0.0743,0.0743,0.0743,0.0,1,0,0.0743,0.0743,0.0743,0.0893,0.0893,0.0893,0.0,1,0,0.0893,0.0893,0.0893,0.1005,0.1005,0.1005,0.0,1,0,0.1005,0.1005,0.1005,0.1048,0.1048,0.1048,0.0,1,0,0.1048,0.1048,0.1048,0.1101,0.1101,0.1101,0.0,1,0,0.1101,0.1101,0.1101,0.1149,0.1149,0.1149,0.0,1,0,0.1149,0.1149,0.1149,0.0913,0.0913,0.0913,0.0,1,0,0.0913,0.0913,0.0913,0.1244,0.1244,0.1244,0.0,1,0,0.1244,0.1244,0.1244,0.102,0.102,0.102,0.0,1,0,0.102,0.102,0.102
1,2018-01-16,2018-01-17,0.2376,0.2376,0.2376,0.0,1,0,0.2376,0.2376,0.2376,0.1536,0.1536,0.1536,0.0,1,0,0.1536,0.1536,0.1536,0.0644,0.0644,0.0644,0.0,1,0,0.0644,0.0644,0.0644,0.3608,0.3608,0.3608,0.0,1,0,0.3608,0.3608,0.3608,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0322,0.0322,0.0322,0.0,1,0,0.0322,0.0322,0.0322,0.0483,0.0483,0.0483,0.0,1,0,0.0483,0.0483,0.0483,0.0554,0.0554,0.0554,0.0,1,0,0.0554,0.0554,0.0554,0.0717,0.0717,0.0717,0.0,1,0,0.0717,0.0717,0.0717,0.0854,0.0854,0.0854,0.0,1,0,0.0854,0.0854,0.0854,0.0996,0.0996,0.0996,0.0,1,0,0.0996,0.0996,0.0996,0.1083,0.1083,0.1083,0.0,1,0,0.1083,0.1083,0.1083,0.1164,0.1164,0.1164,0.0,1,0,0.1164,0.1164,0.1164,0.1159,0.1159,0.1159,0.0,1,0,0.1159,0.1159,0.1159,0.0845,0.0845,0.0845,0.0,1,0,0.0845,0.0845,0.0845,0.1157,0.1157,0.1157,0.0,1,0,0.1157,0.1157,0.1157,0.0869,0.0869,0.0869,0.0,1,0,0.0869,0.0869,0.0869
2,2018-01-21,2018-01-22,0.2944,0.2944,0.2944,0.0,1,0,0.2944,0.2944,0.2944,0.2086,0.2086,0.2086,0.0,1,0,0.2086,0.2086,0.2086,0.1196,0.1196,0.1196,0.0,1,0,0.1196,0.1196,0.1196,0.3334,0.3334,0.3334,0.0,1,0,0.3334,0.3334,0.3334,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0002,0.0002,0.0002,0.0,1,0,0.0002,0.0002,0.0002,0.0151,0.0151,0.0151,0.0,1,0,0.0151,0.0151,0.0151,0.029,0.029,0.029,0.0,1,0,0.029,0.029,0.029,0.0502,0.0502,0.0502,0.0,1,0,0.0502,0.0502,0.0502,0.0603,0.0603,0.0603,0.0,1,0,0.0603,0.0603,0.0603,0.0746,0.0746,0.0746,0.0,1,0,0.0746,0.0746,0.0746,0.082,0.082,0.082,0.0,1,0,0.082,0.082,0.082,0.0921,0.0921,0.0921,0.0,1,0,0.0921,0.0921,0.0921,0.0927,0.0927,0.0927,0.0,1,0,0.0927,0.0927,0.0927,0.0563,0.0563,0.0563,0.0,1,0,0.0563,0.0563,0.0563,0.0861,0.0861,0.0861,0.0,1,0,0.0861,0.0861,0.0861,0.0639,0.0639,0.0639,0.0,1,0,0.0639,0.0639,0.0639
3,2018-02-07,2018-02-08,0.2844,0.2844,0.2844,0.0,1,0,0.2844,0.2844,0.2844,0.1898,0.1898,0.1898,0.0,1,0,0.1898,0.1898,0.1898,0.1016,0.1016,0.1016,0.0,1,0,0.1016,0.1016,0.1016,0.4588,0.4588,0.4588,0.0,1,0,0.4588,0.4588,0.4588,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0159,0.0159,0.0159,0.0,1,0,0.0159,0.0159,0.0159,0.038,0.038,0.038,0.0,1,0,0.038,0.038,0.038,0.048,0.048,0.048,0.0,1,0,0.048,0.048,0.048,0.0662,0.0662,0.0662,0.0,1,0,0.0662,0.0662,0.0662,0.0809,0.0809,0.0809,0.0,1,0,0.0809,0.0809,0.0809,0.0962,0.0962,0.0962,0.0,1,0,0.0962,0.0962,0.0962,0.1041,0.1041,0.1041,0.0,1,0,0.1041,0.1041,0.1041,0.1188,0.1188,0.1188,0.0,1,0,0.1188,0.1188,0.1188,0.1143,0.1143,0.1143,0.0,1,0,0.1143,0.1143,0.1143,0.115,0.115,0.115,0.0,1,0,0.115,0.115,0.115,0.1261,0.1261,0.1261,0.0,1,0,0.1261,0.1261,0.1261,0.106,0.106,0.106,0.0,1,0,0.106,0.106,0.106
4,2018-02-12,2018-02-13,0.332,0.332,0.332,0.0,1,0,0.332,0.332,0.332,0.2196,0.2196,0.2196,0.0,1,0,0.2196,0.2196,0.2196,0.017,0.017,0.017,0.0,1,0,0.017,0.017,0.017,0.3372,0.3372,0.3372,0.0,1,0,0.3372,0.3372,0.3372,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0167,0.0167,0.0167,0.0,1,0,0.0167,0.0167,0.0167,0.0356,0.0356,0.0356,0.0,1,0,0.0356,0.0356,0.0356,0.04,0.04,0.04,0.0,1,0,0.04,0.04,0.04,0.0532,0.0532,0.0532,0.0,1,0,0.0532,0.0532,0.0532,0.0679,0.0679,0.0679,0.0,1,0,0.0679,0.0679,0.0679,0.0873,0.0873,0.0873,0.0,1,0,0.0873,0.0873,0.0873,0.0964,0.0964,0.0964,0.0,1,0,0.0964,0.0964,0.0964,0.1061,0.1061,0.1061,0.0,1,0,0.1061,0.1061,0.1061,0.1048,0.1048,0.1048,0.0,1,0,0.1048,0.1048,0.1048,0.0948,0.0948,0.0948,0.0,1,0,0.0948,0.0948,0.0948,0.0934,0.0934,0.0934,0.0,1,0,0.0934,0.0934,0.0934,0.0694,0.0694,0.0694,0.0,1,0,0.0694,0.0694,0.0694
5,2018-02-22,2018-02-23,0.267,0.267,0.267,0.0,1,0,0.267,0.267,0.267,0.1584,0.1584,0.1584,0.0,1,0,0.1584,0.1584,0.1584,0.1632,0.1632,0.1632,0.0,1,0,0.1632,0.1632,0.1632,0.2274,0.2274,0.2274,0.0,1,0,0.2274,0.2274,0.2274,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.003,0.003,0.003,0.0,1,0,0.003,0.003,0.003,0.0244,0.0244,0.0244,0.0,1,0,0.0244,0.0244,0.0244,0.0362,0.0362,0.0362,0.0,1,0,0.0362,0.0362,0.0362,0.0497,0.0497,0.0497,0.0,1,0,0.0497,0.0497,0.0497,0.0624,0.0624,0.0624,0.0,1,0,0.0624,0.0624,0.0624,0.0729,0.0729,0.0729,0.0,1,0,0.0729,0.0729,0.0729,0.0802,0.0802,0.0802,0.0,1,0,0.0802,0.0802,0.0802,0.0859,0.0859,0.0859,0.0,1,0,0.0859,0.0859,0.0859,0.0871,0.0871,0.0871,0.0,1,0,0.0871,0.0871,0.0871,0.0823,0.0823,0.0823,0.0,1,0,0.0823,0.0823,0.0823,0.1036,0.1036,0.1036,0.0,1,0,0.1036,0.1036,0.1036,0.0855,0.0855,0.0855,0.0,1,0,0.0855,0.0855,0.0855
6,2018-02-25,2018-02-26,0.2074,0.2074,0.2074,0.0,1,0,0.2074,0.2074,0.2074,0.1426,0.1426,0.1426,0.0,1,0,0.1426,0.1426,0.1426,0.1782,0.1782,0.1782,0.0,1,0,0.1782,0.1782,0.1782,0.0942,0.0942,0.0942,0.0,1,0,0.0942,0.0942,0.0942,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0301,0.0301,0.0301,0.0,1,0,0.0301,0.0301,0.0301,0.0519,0.0519,0.0519,0.0,1,0,0.0519,0.0519,0.0519,0.0716,0.0716,0.0716,0.0,1,0,0.0716,0.0716,0.0716,0.0955,0.0955,0.0955,0.0,1,0,0.0955,0.0955,0.0955,0.1092,0.1092,0.1092,0.0,1,0,0.1092,0.1092,0.1092,0.1223,0.1223,0.1223,0.0,1,0,0.1223,0.1223,0.1223,0.1312,0.1312,0.1312,0.0,1,0,0.1312,0.1312,0.1312,0.1455,0.1455,0.1455,0.0,1,0,0.1455,0.1455,0.1455,0.1414,0.1414,0.1414,0.0,1,0,0.1414,0.1414,0.1414,0.1375,0.1375,0.1375,0.0,1,0,0.1375,0.1375,0.1375,0.1875,0.1875,0.1875,0.0,1,0,0.1875,0.1875,0.1875,0.1786,0.1786,0.1786,0.0,1,0,0.1786,0.1786,0.1786
7,2018-03-02,2018-03-03,0.1352,0.1352,0.1352,0.0,1,0,0.1352,0.1352,0.1352,0.0776,0.0776,0.0776,0.0,1,0,0.0776,0.0776,0.0776,0.1568,0.1568,0.1568,0.0,1,0,0.1568,0.1568,0.1568,0.2,0.2,0.2,0.0,1,0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.052,0.052,0.052,0.0,1,0,0.052,0.052,0.052,0.0816,0.0816,0.0816,0.0,1,0,0.0816,0.0816,0.0816,0.0969,0.0969,0.0969,0.0,1,0,0.0969,0.0969,0.0969,0.1206,0.1206,0.1206,0.0,1,0,0.1206,0.1206,0.1206,0.1355,0.1355,0.1355,0.0,1,0,0.1355,0.1355,0.1355,0.1441,0.1441,0.1441,0.0,1,0,0.1441,0.1441,0.1441,0.1508,0.1508,0.1508,0.0,1,0,0.1508,0.1508,0.1508,0.1583,0.1583,0.1583,0.0,1,0,0.1583,0.1583,0.1583,0.1634,0.1634,0.1634,0.0,1,0,0.1634,0.1634,0.1634,0.167,0.167,0.167,0.0,1,0,0.167,0.167,0.167,0.2085,0.2085,0.2085,0.0,1,0,0.2085,0.2085,0.2085,0.1964,0.1964,0.1964,0.0,1,0,0.1964,0.1964,0.1964
8,2018-03-04,2018-03-05,0.122,0.122,0.122,0.0,1,0,0.122,0.122,0.122,0.0544,0.0544,0.0544,0.0,1,0,0.0544,0.0544,0.0544,0.1896,0.1896,0.1896,0.0,1,0,0.1896,0.1896,0.1896,0.1216,0.1216,0.1216,0.0,1,0,0.1216,0.1216,0.1216,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0513,0.0513,0.0513,0.0,1,0,0.0513,0.0513,0.0513,0.0806,0.0806,0.0806,0.0,1,0,0.0806,0.0806,0.0806,0.0984,0.0984,0.0984,0.0,1,0,0.0984,0.0984,0.0984,0.1245,0.1245,0.1245,0.0,1,0,0.1245,0.1245,0.1245,0.1427,0.1427,0.1427,0.0,1,0,0.1427,0.1427,0.1427,0.1464,0.1464,0.1464,0.0,1,0,0.1464,0.1464,0.1464,0.1555,0.1555,0.1555,0.0,1,0,0.1555,0.1555,0.1555,0.1591,0.1591,0.1591,0.0,1,0,0.1591,0.1591,0.1591,0.1669,0.1669,0.1669,0.0,1,0,0.1669,0.1669,0.1669,0.1657,0.1657,0.1657,0.0,1,0,0.1657,0.1657,0.1657,0.2274,0.2274,0.2274,0.0,1,0,0.2274,0.2274,0.2274,0.222,0.222,0.222,0.0,1,0,0.222,0.222,0.222
9,2018-03-19,2018-03-20,0.1212,0.1212,0.1212,0.0,1,0,0.1212,0.1212,0.1212,0.0746,0.0746,0.0746,0.0,1,0,0.0746,0.0746,0.0746,0.183,0.183,0.183,0.0,1,0,0.183,0.183,0.183,0.0628,0.0628,0.0628,0.0,1,0,0.0628,0.0628,0.0628,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0644,0.0644,0.0644,0.0,1,0,0.0644,0.0644,0.0644,0.0797,0.0797,0.0797,0.0,1,0,0.0797,0.0797,0.0797,0.1024,0.1024,0.1024,0.0,1,0,0.1024,0.1024,0.1024,0.1305,0.1305,0.1305,0.0,1,0,0.1305,0.1305,0.1305,0.1434,0.1434,0.1434,0.0,1,0,0.1434,0.1434,0.1434,0.1475,0.1475,0.1475,0.0,1,0,0.1475,0.1475,0.1475,0.1552,0.1552,0.1552,0.0,1,0,0.1552,0.1552,0.1552,0.1665,0.1665,0.1665,0.0,1,0,0.1665,0.1665,0.1665,0.1674,0.1674,0.1674,0.0,1,0,0.1674,0.1674,0.1674,0.1659,0.1659,0.1659,0.0,1,0,0.1659,0.1659,0.1659,0.226,0.226,0.226,0.0,1,0,0.226,0.226,0.226,0.2118,0.2118,0.2118,0.0,1,0,0.2118,0.2118,0.2118
10,2018-04-06,2018-04-07,0.1062,0.1062,0.1062,0.0,1,0,0.1062,0.1062,0.1062,0.073,0.073,0.073,0.0,1,0,0.073,0.073,0.073,0.1526,0.1526,0.1526,0.0,1,0,0.1526,0.1526,0.1526,0.1372,0.1372,0.1372,0.0,1,0,0.1372,0.1372,0.1372,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0473,0.0473,0.0473,0.0,1,0,0.0473,0.0473,0.0473,0.0623,0.0623,0.0623,0.0,1,0,0.0623,0.0623,0.0623,0.0732,0.0732,0.0732,0.0,1,0,0.0732,0.0732,0.0732,0.0939,0.0939,0.0939,0.0,1,0,0.0939,0.0939,0.0939,0.1004,0.1004,0.1004,0.0,1,0,0.1004,0.1004,0.1004,0.0989,0.0989,0.0989,0.0,1,0,0.0989,0.0989,0.0989,0.1044,0.1044,0.1044,0.0,1,0,0.1044,0.1044,0.1044,0.1162,0.1162,0.1162,0.0,1,0,0.1162,0.1162,0.1162,0.1128,0.1128,0.1128,0.0,1,0,0.1128,0.1128,0.1128,0.1308,0.1308,0.1308,0.0,1,0,0.1308,0.1308,0.1308,0.1489,0.1489,0.1489,0.0,1,0,0.1489,0.1489,0.1489,0.1334,0.1334,0.1334,0.0,1,0,0.1334,0.1334,0.1334
11,2018-04-08,2018-04-09,0.082,0.082,0.082,0.0,1,0,0.082,0.082,0.082,0.037,0.037,0.037,0.0,1,0,0.037,0.037,0.037,0.1688,0.1688,0.1688,0.0,1,0,0.1688,0.1688,0.1688,0.0824,0.0824,0.0824,0.0,1,0,0.0824,0.0824,0.0824,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0938,0.0938,0.0938,0.0,1,0,0.0938,0.0938,0.0938,0.1125,0.1125,0.1125,0.0,1,0,0.1125,0.1125,0.1125,0.1384,0.1384,0.1384,0.0,1,0,0.1384,0.1384,0.1384,0.1722,0.1722,0.1722,0.0,1,0,0.1722,0.1722,0.1722,0.1885,0.1885,0.1885,0.0,1,0,0.1885,0.1885,0.1885,0.1871,0.1871,0.1871,0.0,1,0,0.1871,0.1871,0.1871,0.1946,0.1946,0.1946,0.0,1,0,0.1946,0.1946,0.1946,0.203,0.203,0.203,0.0,1,0,0.203,0.203,0.203,0.2086,0.2086,0.2086,0.0,1,0,0.2086,0.2086,0.2086,0.2094,0.2094,0.2094,0.0,1,0,0.2094,0.2094,0.2094,0.2714,0.2714,0.2714,0.0,1,0,0.2714,0.2714,0.2714,0.255,0.255,0.255,0.0,1,0,0.255,0.255,0.255
12,2018-04-16,2018-04-17,-0.0116,-0.0116,-0.0116,0.0,1,0,-0.0116,-0.0116,-0.0116,-0.0382,-0.0382,-0.0382,0.0,1,0,-0.0382,-0.0382,-0.0382,0.2002,0.2002,0.2002,0.0,1,0,0.2002,0.2002,0.2002,0.2,0.2,0.2,0.0,1,0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0414,0.0414,0.0414,0.0,1,0,0.0414,0.0414,0.0414,0.0501,0.0501,0.0501,0.0,1,0,0.0501,0.0501,0.0501,0.0572,0.0572,0.0572,0.0,1,0,0.0572,0.0572,0.0572,0.0735,0.0735,0.0735,0.0,1,0,0.0735,0.0735,0.0735,0.0775,0.0775,0.0775,0.0,1,0,0.0775,0.0775,0.0775,0.068,0.068,0.068,0.0,1,0,0.068,0.068,0.068,0.069,0.069,0.069,0.0,1,0,0.069,0.069,0.069,0.0718,0.0718,0.0718,0.0,1,0,0.0718,0.0718,0.0718,0.0733,0.0733,0.0733,0.0,1,0,0.0733,0.0733,0.0733,0.0671,0.0671,0.0671,0.0,1,0,0.0671,0.0671,0.0671,0.1094,0.1094,0.1094,0.0,1,0,0.1094,0.1094,0.1094,0.1052,0.1052,0.1052,0.0,1,0,0.1052,0.1052,0.1052
13,2018-04-18,2018-04-19,0.073,0.073,0.073,0.0,1,0,0.073,0.073,0.073,0.035,0.035,0.035,0.0,1,0,0.035,0.035,0.035,0.1682,0.1682,0.1682,0.0,1,0,0.1682,0.1682,0.1682,0.1254,0.1254,0.1254,0.0,1,0,0.1254,0.1254,0.1254,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0611,0.0611,0.0611,0.0,1,0,0.0611,0.0611,0.0611,0.0974,0.0974,0.0974,0.0,1,0,0.0974,0.0974,0.0974,0.1218,0.1218,0.1218,0.0,1,0,0.1218,0.1218,0.1218,0.1503,0.1503,0.1503,0.0,1,0,0.1503,0.1503,0.1503,0.1622,0.1622,0.1622,0.0,1,0,0.1622,0.1622,0.1622,0.1527,0.1527,0.1527,0.0,1,0,0.1527,0.1527,0.1527,0.1546,0.1546,0.1546,0.0,1,0,0.1546,0.1546,0.1546,0.174,0.174,0.174,0.0,1,0,0.174,0.174,0.174,0.1644,0.1644,0.1644,0.0,1,0,0.1644,0.1644,0.1644,0.1783,0.1783,0.1783,0.0,1,0,0.1783,0.1783,0.1783,0.2309,0.2309,0.2309,0.0,1,0,0.2309,0.2309,0.2309,0.2178,0.2178,0.2178,0.0,1,0,0.2178,0.2178,0.2178
14,2018-04-21,2018-04-22,0.0134,0.0134,0.0134,0.0,1,0,0.0134,0.0134,0.0134,-0.0258,-0.0258,-0.0258,0.0,1,0,-0.0258,-0.0258,-0.0258,0.2292,0.2292,0.2292,0.0,1,0,0.2292,0.2292,0.2292,0.0236,0.0236,0.0236,0.0,1,0,0.0236,0.0236,0.0236,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0845,0.0845,0.0845,0.0,1,0,0.0845,0.0845,0.0845,0.0973,0.0973,0.0973,0.0,1,0,0.0973,0.0973,0.0973,0.1212,0.1212,0.1212,0.0,1,0,0.1212,0.1212,0.1212,0.1557,0.1557,0.1557,0.0,1,0,0.1557,0.1557,0.1557,0.1684,0.1684,0.1684,0.0,1,0,0.1684,0.1684,0.1684,0.1531,0.1531,0.1531,0.0,1,0,0.1531,0.1531,0.1531,0.1537,0.1537,0.1537,0.0,1,0,0.1537,0.1537,0.1537,0.1599,0.1599,0.1599,0.0,1,0,0.1599,0.1599,0.1599,0.1659,0.1659,0.1659,0.0,1,0,0.1659,0.1659,0.1659,0.1656,0.1656,0.1656,0.0,1,0,0.1656,0.1656,0.1656,0.2544,0.2544,0.2544,0.0,1,0,0.2544,0.2544,0.2544,0.2506,0.2506,0.2506,0.0,1,0,0.2506,0.2506,0.2506
15,2018-05-03,2018-05-04,0.0398,0.0398,0.0398,0.0,1,0,0.0398,0.0398,0.0398,0.0024,0.0024,0.0024,0.0,1,0,0.0024,0.0024,0.0024,0.2312,0.2312,0.2312,0.0,1,0,0.2312,0.2312,0.2312,0.0314,0.0314,0.0314,0.0,1,0,0.0314,0.0314,0.0314,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0578,0.0578,0.0578,0.0,1,0,0.0578,0.0578,0.0578,0.0897,0.0897,0.0897,0.0,1,0,0.0897,0.0897,0.0897,0.1137,0.1137,0.1137,0.0,1,0,0.1137,0.1137,0.1137,0.1517,0.1517,0.1517,0.0,1,0,0.1517,0.1517,0.1517,0.1635,0.1635,0.1635,0.0,1,0,0.1635,0.1635,0.1635,0.1494,0.1494,0.1494,0.0,1,0,0.1494,0.1494,0.1494,0.1486,0.1486,0.1486,0.0,1,0,0.1486,0.1486,0.1486,0.1643,0.1643,0.1643,0.0,1,0,0.1643,0.1643,0.1643,0.1605,0.1605,0.1605,0.0,1,0,0.1605,0.1605,0.1605,0.1579,0.1579,0.1579,0.0,1,0,0.1579,0.1579,0.1579,0.2551,0.2551,0.2551,0.0,1,0,0.2551,0.2551,0.2551,0.2526,0.2526,0.2526,0.0,1,0,0.2526,0.2526,0.2526
16,2018-05-06,2018-05-07,0.035,0.035,0.035,0.0,1,0,0.035,0.035,0.035,-0.0018,-0.0018,-0.0018,0.0,1,0,-0.0018,-0.0018,-0.0018,0.2262,0.2262,0.2262,0.0,1,0,0.2262,0.2262,0.2262,0.0156,0.0156,0.0156,0.0,1,0,0.0156,0.0156,0.0156,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0766,0.0766,0.0766,0.0,1,0,0.0766,0.0766,0.0766,0.0973,0.0973,0.0973,0.0,1,0,0.0973,0.0973,0.0973,0.1209,0.1209,0.1209,0.0,1,0,0.1209,0.1209,0.1209,0.1556,0.1556,0.1556,0.0,1,0,0.1556,0.1556,0.1556,0.1675,0.1675,0.1675,0.0,1,0,0.1675,0.1675,0.1675,0.1566,0.1566,0.1566,0.0,1,0,0.1566,0.1566,0.1566,0.1558,0.1558,0.1558,0.0,1,0,0.1558,0.1558,0.1558,0.1669,0.1669,0.1669,0.0,1,0,0.1669,0.1669,0.1669,0.1677,0.1677,0.1677,0.0,1,0,0.1677,0.1677,0.1677,0.1682,0.1682,0.1682,0.0,1,0,0.1682,0.1682,0.1682,0.2631,0.2631,0.2631,0.0,1,0,0.2631,0.2631,0.2631,0.2614,0.2614,0.2614,0.0,1,0,0.2614,0.2614,0.2614
17,2018-05-08,2018-05-09,0.0668,0.0668,0.0668,0.0,1,0,0.0668,0.0668,0.0668,0.0184,0.0184,0.0184,0.0,1,0,0.0184,0.0184,0.0184,0.189,0.189,0.189,0.0,1,0,0.189,0.189,0.189,0.0274,0.0274,0.0274,0.0,1,0,0.0274,0.0274,0.0274,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.089,0.089,0.089,0.0,1,0,0.089,0.089,0.089,0.107,0.107,0.107,0.0,1,0,0.107,0.107,0.107,0.1345,0.1345,0.1345,0.0,1,0,0.1345,0.1345,0.1345,0.1664,0.1664,0.1664,0.0,1,0,0.1664,0.1664,0.1664,0.1833,0.1833,0.1833,0.0,1,0,0.1833,0.1833,0.1833,0.1786,0.1786,0.1786,0.0,1,0,0.1786,0.1786,0.1786,0.178,0.178,0.178,0.0,1,0,0.178,0.178,0.178,0.1902,0.1902,0.1902,0.0,1,0,0.1902,0.1902,0.1902,0.1898,0.1898,0.1898,0.0,1,0,0.1898,0.1898,0.1898,0.1875,0.1875,0.1875,0.0,1,0,0.1875,0.1875,0.1875,0.2693,0.2693,0.2693,0.0,1,0,0.2693,0.2693,0.2693,0.257,0.257,0.257,0.0,1,0,0.257,0.257,0.257
